case_id,difference
celestial_chaotic_stormcaller_hard,-0.1667
celestial_desolate_ranger_medium,1.5000
celestial_eerie_artificer_brutal,1.0000
celestial_mysterious_chronomancer_hard,0.2500
celestial_ominous_shadowblade_brutal,0.5833
celestial_serene_paladin_medium,0.1667
celestial_tense_engineer_easy,1.4167
celestial_whimsical_illusionist_easy,1.2500
fantasy_chaotic_berserker_hard,-0.4167
fantasy_desolate_ranger_brutal,0.9167
fantasy_eerie_necromancer_medium,0.0000
fantasy_mysterious_illusionist_brutal,0.5833
fantasy_ominous_pyromancer_medium,-0.0833
fantasy_serene_warden_easy,0.7500
fantasy_tense_paladin_hard,0.6667
fantasy_whimsical_beastmaster_easy,-0.9167
horror_chaotic_berserker_brutal,-0.2500
horror_desolate_ranger_hard,0.1667
horror_eerie_alchemist_hard,1.0833
horror_mysterious_necromancer_easy,0.4167
horror_ominous_pyromancer_brutal,0.2500
horror_serene_warden_medium,0.2500
horror_tense_shadowblade_medium,-0.0833
horror_whimsical_illusionist_easy,0.9167
jungle_chaotic_beastmaster_hard,0.4167
jungle_desolate_berserker_brutal,2.2500
jungle_eerie_chronomancer_medium,0.8333
jungle_mysterious_ranger_medium,1.5000
jungle_ominous_necromancer_hard,0.6667
jungle_serene_warden_easy,-0.8333
jungle_tense_rogue_brutal,1.1667
jungle_whimsical_alchemist_easy,0.4167
sci-fi_chaotic_stormcaller_brutal,0.1667
sci-fi_desolate_chronomancer_medium,0.8333
sci-fi_eerie_alchemist_medium,-0.2500
sci-fi_mysterious_artificer_easy,-0.3333
sci-fi_ominous_shadowblade_hard,1.0833
sci-fi_serene_geomancer_brutal,-0.1667
sci-fi_tense_engineer_hard,0.3333
sci-fi_whimsical_rogue_easy,0.8333
steampunk_chaotic_engineer_medium,0.3333
steampunk_desolate_chronomancer_medium,-0.9167
steampunk_eerie_geomancer_brutal,0.5000
steampunk_mysterious_artificer_hard,0.4167
steampunk_ominous_stormcaller_hard,0.5833
steampunk_serene_paladin_easy,0.0000
steampunk_tense_rogue_brutal,0.2500
steampunk_whimsical_alchemist_easy,0.8333
underwater_chaotic_pyromancer_hard,0.0000
underwater_desolate_warden_brutal,1.6667
underwater_eerie_shadowblade_medium,0.4167
underwater_mysterious_geomancer_medium,1.0000
underwater_ominous_necromancer_hard,1.0833
underwater_serene_beastmaster_easy,-0.1667
underwater_tense_stormcaller_brutal,0.2500
underwater_whimsical_illusionist_easy,1.1667
volcanic_chaotic_pyromancer_hard,0.3333
volcanic_desolate_berserker_brutal,-0.2500
volcanic_eerie_stormcaller_hard,1.1667
volcanic_mysterious_artificer_easy,-1.0833
volcanic_ominous_geomancer_brutal,0.1667
volcanic_serene_chronomancer_medium,-0.3333
volcanic_tense_paladin_medium,0.5833
volcanic_whimsical_beastmaster_easy,0.6667
