variant,condition,files,levels,mean_thinking_tokens
flat_alpha,minimal,4,64,0.0
grouped_by_type,minimal,4,64,0.0
append_order,minimal,4,64,0.0
ui_contract,minimal,4,64,0.0
alpha_nested,minimal,4,64,0.0
nested_narrative,minimal,4,64,0.0
flat_alpha,gamin,5,72,0.0
grouped_by_type,gamin,5,72,0.0
append_order,gamin,5,72,0.0
ui_contract,gamin,5,72,0.0
alpha_nested,gamin,5,72,0.0
nested_narrative,gamin,5,72,0.0
flat_alpha,low,5,72,112.6
grouped_by_type,low,5,72,111.3
append_order,low,5,72,112.7
ui_contract,low,5,72,112.7
alpha_nested,low,5,72,113.2
nested_narrative,low,5,72,111.8
flat_alpha,medium,5,72,907.5
grouped_by_type,medium,5,72,629.0
append_order,medium,5,72,627.7
ui_contract,medium,5,72,658.1
alpha_nested,medium,5,72,665.3
nested_narrative,medium,5,72,591.4
flat_alpha,high,5,72,1751.5
grouped_by_type,high,5,72,1618.9
append_order,high,5,72,1688.6
ui_contract,high,5,72,1613.7
alpha_nested,high,5,72,1671.4
nested_narrative,high,5,72,1659.2
