case_id,flash_v1_gemini_35_flash_mean,flash_v1_gemini_3_flash_preview_mean,diff
celestial_chaotic_stormcaller_hard,4.6667,4.5,0.1667
celestial_desolate_ranger_medium,3.9584,4.5,-0.5416
celestial_eerie_artificer_brutal,4.2083,4.0417,0.1666
celestial_mysterious_chronomancer_hard,4.5417,4.75,-0.2083
celestial_ominous_shadowblade_brutal,4.4167,4.0833,0.3334
celestial_serene_paladin_medium,4.6667,4.9167,-0.25
celestial_tense_engineer_easy,4.1667,3.75,0.4167
celestial_whimsical_illusionist_easy,4.2917,4.0416,0.2501
cyberpunk_chaotic_shadowblade_brutal,4.75,3.75,1.0
cyberpunk_desolate_rogue_brutal,4.2917,3.9584,0.3333
cyberpunk_eerie_alchemist_hard,4.7917,4.125,0.6667
cyberpunk_mysterious_artificer_medium,4.375,4.125,0.25
cyberpunk_ominous_chronomancer_easy,4.0417,4.5,-0.4583
cyberpunk_serene_geomancer_medium,4.75,4.2083,0.5417
cyberpunk_tense_engineer_hard,4.6667,4.375,0.2917
cyberpunk_whimsical_stormcaller_easy,4.2083,4.0833,0.125
fantasy_chaotic_berserker_hard,4.4166,4.5417,-0.1251
fantasy_desolate_ranger_brutal,4.4167,4.5417,-0.125
fantasy_eerie_necromancer_medium,4.4167,4.2917,0.125
fantasy_mysterious_illusionist_brutal,4.6667,3.7084,0.9583
fantasy_ominous_pyromancer_medium,4.9167,4.3333,0.5834
fantasy_serene_warden_easy,4.3333,4.125,0.2083
fantasy_tense_paladin_hard,4.9167,4.75,0.1667
fantasy_whimsical_beastmaster_easy,4.75,4.0833,0.6667
horror_chaotic_berserker_brutal,4.6667,4.0833,0.5834
horror_desolate_ranger_hard,4.3334,4.5833,-0.2499
horror_eerie_alchemist_hard,4.875,4.125,0.75
horror_mysterious_necromancer_easy,4.2083,4.0833,0.125
horror_ominous_pyromancer_brutal,4.2083,4.25,-0.0417
horror_serene_warden_medium,4.0,4.375,-0.375
horror_tense_shadowblade_medium,4.7917,3.4583,1.3334
horror_whimsical_illusionist_easy,4.7083,3.75,0.9583
jungle_chaotic_beastmaster_hard,4.9583,4.125,0.8333
jungle_desolate_berserker_brutal,4.4167,3.2917,1.125
jungle_eerie_chronomancer_medium,4.125,3.9167,0.2083
jungle_mysterious_ranger_medium,4.2083,3.1666,1.0417
jungle_ominous_necromancer_hard,4.2917,4.4583,-0.1666
jungle_serene_warden_easy,4.125,3.7917,0.3333
jungle_tense_rogue_brutal,4.7083,3.625,1.0833
jungle_whimsical_alchemist_easy,4.7083,4.125,0.5833
sci-fi_chaotic_stormcaller_brutal,4.3333,4.8333,-0.5
sci-fi_desolate_chronomancer_medium,4.875,4.5,0.375
sci-fi_eerie_alchemist_medium,4.3333,4.4583,-0.125
sci-fi_mysterious_artificer_easy,4.5,4.0417,0.4583
sci-fi_ominous_shadowblade_hard,3.5417,3.7916,-0.2499
sci-fi_serene_geomancer_brutal,4.2083,4.2917,-0.0834
sci-fi_tense_engineer_hard,4.9167,4.0,0.9167
sci-fi_whimsical_rogue_easy,4.2917,3.8334,0.4583
steampunk_chaotic_engineer_medium,4.7917,4.75,0.0417
steampunk_desolate_chronomancer_medium,4.9583,3.9583,1.0
steampunk_eerie_geomancer_brutal,4.3333,3.6667,0.6666
steampunk_mysterious_artificer_hard,4.25,3.9166,0.3334
steampunk_ominous_stormcaller_hard,4.2083,4.25,-0.0417
steampunk_serene_paladin_easy,4.7917,3.5833,1.2084
steampunk_tense_rogue_brutal,4.8333,4.1667,0.6666
steampunk_whimsical_alchemist_easy,4.5,3.6667,0.8333
underwater_chaotic_pyromancer_hard,4.6667,4.375,0.2917
underwater_desolate_warden_brutal,4.375,4.0833,0.2917
underwater_eerie_shadowblade_medium,3.9584,4.0,-0.0416
underwater_mysterious_geomancer_medium,4.875,4.3334,0.5416
underwater_ominous_necromancer_hard,4.875,3.5,1.375
underwater_serene_beastmaster_easy,4.2083,3.7917,0.4166
underwater_tense_stormcaller_brutal,4.0833,3.8333,0.25
underwater_whimsical_illusionist_easy,4.25,4.375,-0.125
volcanic_chaotic_pyromancer_hard,4.25,3.9166,0.3334
volcanic_desolate_berserker_brutal,3.9166,3.2083,0.7083
volcanic_eerie_stormcaller_hard,4.5417,4.0416,0.5001
volcanic_mysterious_artificer_easy,4.625,3.4166,1.2084
volcanic_ominous_geomancer_brutal,4.7917,4.5833,0.2084
volcanic_serene_chronomancer_medium,4.75,4.5,0.25
volcanic_tense_paladin_medium,4.0416,3.7084,0.3332
volcanic_whimsical_beastmaster_easy,4.1667,4.0,0.1667
